City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ahipara,NZ,2023-01-31 05:47:10,-35.1667,173.1667,69.4,93,100,13.96
1,Kuvshinovo,RU,2023-01-31 05:47:10,57.0295,34.1725,30.16,88,100,14.23
2,Tuktoyaktuk,CA,2023-01-31 05:47:10,69.4541,-133.0374,-27.4,68,75,0.0
3,Ialibu,PG,2023-01-31 05:47:11,-6.2821,143.9935,64.2,92,100,2.37
4,Jamestown,US,2023-01-31 05:47:11,42.097,-79.2353,24.39,97,100,11.5
5,Frontera,MX,2023-01-31 05:43:54,26.9333,-101.45,51.19,83,93,5.41
6,Waitati,NZ,2023-01-31 05:47:11,-45.75,170.5667,67.8,73,57,8.16
7,Vetluga,RU,2023-01-31 05:47:12,57.8557,45.781,24.08,91,100,12.71
8,Khatanga,RU,2023-01-31 05:47:12,71.9667,102.5,-45.8,100,62,3.87
9,Upernavik,GL,2023-01-31 05:47:12,72.7868,-56.1549,1.98,72,100,6.6
10,Nikolskoye,RU,2023-01-31 05:47:13,59.7035,30.7861,31.91,89,100,10.98
11,Cabrobo,BR,2023-01-31 05:47:13,-8.5142,-39.31,74.12,74,33,12.71
12,Rikitea,PF,2023-01-31 05:47:13,-23.1203,-134.9692,79.59,70,50,9.53
13,Sisimiut,GL,2023-01-31 05:47:14,66.9395,-53.6735,7.38,89,100,7.23
14,Mar Del Plata,AR,2023-01-31 05:47:14,-38.0023,-57.5575,70.88,96,100,4.0
15,Kahului,US,2023-01-31 05:47:14,20.8947,-156.47,73.85,83,40,4.61
16,Kapaa,US,2023-01-31 05:47:15,22.0752,-159.319,67.1,91,100,8.05
17,Healdsburg,US,2023-01-31 05:46:03,38.6105,-122.8692,42.17,57,0,4.61
18,Dikson,RU,2023-01-31 05:47:15,73.5069,80.5464,-5.78,97,100,6.71
19,Qaanaaq,GL,2023-01-31 05:47:15,77.484,-69.3632,-4.5,44,16,9.13
20,Hobart,AU,2023-01-31 05:44:09,-42.8794,147.3294,80.28,57,20,18.41
21,Vaini,TO,2023-01-31 05:47:16,-21.2,-175.2,84.36,84,75,6.91
22,Thompson,CA,2023-01-31 05:47:16,55.7435,-97.8558,-18.24,69,0,6.91
23,Sosva,RU,2023-01-31 05:47:17,59.1766,61.8558,17.37,91,29,7.81
24,Lavrentiya,RU,2023-01-31 05:47:17,65.5833,-171.0,27.39,90,100,5.91
25,Saint Anthony,US,2023-01-31 05:45:25,45.0205,-93.218,-6.18,72,0,4.61
